id;iso;name;Angriffe_Gesamt;Angriffe_Unterkunft;Angriffe_Tätlich;Antrag_Erst;Antrag_Gesamt;Einwohner;ausländische_Bevölkerung;Anteil_ausländischer_Bevölkerung;Angriffe pro EW;Angriffe_Unterkunft pro EW;Tätliche Angriffe pro EW;Angriffe pro Antrag;Angriffe_Unterkunft pro Antrag;Tätliche Angriffe pro Antrag
1;BW;Baden-Wuertemberg;82;77;5;57578;61671;10716640;1403887;13,10006681;0,765165201;0,718508786;0,046656415;0,142415506;0,133731634;0,008683872
2;BY;Bayern;102;88;14;67639;71168;12691570;1418684;11,17815999;0,803683075;0,693373633;0,110309442;0,150800574;0,130102456;0,020698118
3;BE;Berlin;91;77;14;33281;36197;3469850;501014;14,43906797;2,622591755;2,2191161;0,403475655;0,273429284;0,23136324;0,042066044
4;BR;Brandenburg;99;73;26;18661;19324;2457870;67589;2,749901337;4,027877797;2,970051305;1,057826492;0,530518193;0,391190183;0,13932801
5;HB;Bremen;2;2;0;4689;4888;661890;96853;14,63279397;0,302165012;0,302165012;0;0,042653018;0,042653018;0
6;HH;Hamburg;21;21;0;12437;13157;1762790;261348;14,82581589;1,191293347;1,191293347;0;0,168851009;0,168851009;0
7;HE;Hessen;40;38;2;27239;28724;6093890;861168;14,13166303;0,656395176;0,623575417;0,032819759;0,146848269;0,139505856;0,007342413
8;MV;Mecklenburg-Vorpommern;76;55;21;18851;19383;1599140;45363;2,836712233;4,752554498;3,43934865;1,313205848;0,403161636;0,29176171;0,111399926
9;NI;Niedersachsen;94;86;8;34248;37975;7826740;570883;7,294007467;1,201010893;1,0987972;0,102213693;0,274468582;0,251109554;0,023359028
10;NW;Nordrhein-Westfalen;218;205;13;66758;77223;17638100;2074230;11,75994013;1,235960789;1,162256706;0,073704084;0,326552623;0,307079301;0,019473322
11;RP;Rheinland-Pfalz;38;37;1;17625;19697;4011580;352735;8,792919498;0,947257689;0,922329855;0,024927834;0,215602837;0,209929078;0,005673759
12;SL;Saarland;6;5;1;10089;10358;989040;90696;9,170104344;0,606648872;0,505540726;0,101108145;0,059470711;0,049558926;0,009911785
13;SN;Sachsen;263;198;65;27180;28317;4055270;123648;3,049069482;6,485388149;4,882535565;1,602852584;0,967623252;0,728476821;0,239146431
14;ST;Sachsen-Anhalt;83;64;19;16410;17292;2235550;62155;2,78030015;3,712732885;2,862830176;0,849902709;0,505789153;0,390006094;0,115783059
15;SH;Schleswig-Holstein;31;27;4;15572;16351;2830860;166539;5,882982557;1,095073582;0,953773765;0,141299817;0,199075263;0,173388133;0,025687131
16;TH;Thuringia;63;52;11;13455;14733;2156760;56176;2,604647712;2,921048239;2,411023943;0,510024296;0,468227425;0,38647343;0,081753995
